"SampleID"	"Subtype"	"TrainTestFlag"
"GSM1167458"	"Ba/Sq"	"Training"
"GSM1167461"	"Ba/Sq"	"Training"
"GSM1167462"	"LumP"	"Training"
"GSM1167465"	"Stroma_rich"	"Training"
"GSM1167466"	"LumP"	"Training"
"GSM1167468"	"Ba/Sq"	"Training"
"GSM1167469"	"LumP"	"Training"
"GSM1167473"	"LumP"	"Training"
"GSM1173901"	"Stroma_rich"	"Training"
"GSM1173903"	"LumU"	"Training"
"GSM1173904"	"Stroma_rich"	"Training"
"GSM1173905"	"Ba/Sq"	"Training"
"GSM1173907"	"Stroma_rich"	"Training"
"GSM1173908"	"Ba/Sq"	"Training"
"GSM1173909"	"Stroma_rich"	"Training"
"GSM1173910"	"Ba/Sq"	"Training"
"GSM1173911"	"Ba/Sq"	"Training"
"GSM1173912"	"LumNS"	"Training"
"GSM1173914"	"Stroma_rich"	"Training"
"GSM1173915"	"Stroma_rich"	"Training"
"GSM1173916"	"Ba/Sq"	"Training"
"GSM1173917"	"Ba/Sq"	"Training"
"GSM1173919"	"Ba/Sq"	"Training"
"GSM1173920"	"Stroma_rich"	"Training"
"GSM1173921"	"Stroma_rich"	"Training"
"GSM1173922"	"Ba/Sq"	"Training"
"GSM1173923"	"Stroma_rich"	"Training"
"GSM1173924"	"Stroma_rich"	"Training"
"GSM1173925"	"Stroma_rich"	"Training"
"GSM1173926"	"Stroma_rich"	"Training"
"GSM1173927"	"Stroma_rich"	"Training"
"GSM1173928"	"Stroma_rich"	"Training"
"GSM1173929"	"Ba/Sq"	"Training"
"GSM1173931"	"LumNS"	"Training"
"GSM1173932"	"Stroma_rich"	"Training"
"GSM1173934"	"Stroma_rich"	"Training"
"GSM1173935"	"Stroma_rich"	"Training"
"GSM1173936"	"Stroma_rich"	"Training"
"GSM1173937"	"LumU"	"Training"
"GSM1173938"	"Stroma_rich"	"Training"
"GSM1173939"	"Stroma_rich"	"Training"
"GSM1173940"	"Stroma_rich"	"Training"
"GSM1173941"	"LumP"	"Training"
"GSM1173943"	"Ba/Sq"	"Training"
"GSM1173944"	"Stroma_rich"	"Training"
"GSM1173945"	"LumU"	"Training"
"GSM1173946"	"Stroma_rich"	"Training"
"GSM1173947"	"Stroma_rich"	"Training"
"GSM1173949"	"Ba/Sq"	"Training"
"GSM1173950"	"Ba/Sq"	"Training"
"GSM1173951"	"Stroma_rich"	"Training"
"GSM1173952"	"Stroma_rich"	"Training"
"GSM1173956"	"Ba/Sq"	"Training"
"GSM1173957"	"Ba/Sq"	"Training"
"GSM1173986"	"LumU"	"Training"
"GSM1173987"	"Ba/Sq"	"Training"
"GSM1173988"	"LumU"	"Training"
"GSM1173989"	"Ba/Sq"	"Training"
"GSM1173990"	"LumP"	"Training"
"GSM1173991"	"LumP"	"Training"
"GSM1173992"	"Ba/Sq"	"Training"
"GSM1173993"	"LumP"	"Training"
"GSM1173994"	"LumP"	"Training"
"GSM1173995"	"LumP"	"Training"
"GSM1173996"	"LumP"	"Training"
"GSM1173997"	"Ba/Sq"	"Training"
"GSM1173998"	"LumNS"	"Training"
"GSM1173999"	"LumU"	"Training"
"GSM1174000"	"LumU"	"Training"
"GSM1174001"	"Ba/Sq"	"Training"
"GSM1174002"	"LumP"	"Training"
"GSM1174003"	"Ba/Sq"	"Training"
"GSM1174004"	"LumU"	"Training"
"GSM1174005"	"LumNS"	"Training"
"GSM1174006"	"Ba/Sq"	"Training"
"GSM1174007"	"Ba/Sq"	"Training"
"GSM1174008"	"Ba/Sq"	"Training"
"GSM1174009"	"LumNS"	"Training"
"GSM1174010"	"LumU"	"Training"
"GSM1174011"	"Stroma_rich"	"Training"
"GSM1174012"	"Ba/Sq"	"Training"
"GSM1174013"	"Ba/Sq"	"Training"
"GSM1174014"	"LumP"	"Training"
"GSM1174015"	"LumU"	"Training"
"GSM1174016"	"Ba/Sq"	"Training"
"GSM1174017"	"LumU"	"Training"
"GSM1174018"	"LumP"	"Training"
"GSM1174019"	"Stroma_rich"	"Training"
"GSM1174020"	"LumNS"	"Training"
"GSM1174021"	"Ba/Sq"	"Training"
"GSM1174022"	"Stroma_rich"	"Training"
"GSM1174023"	"Ba/Sq"	"Training"
"GSM1174024"	"LumU"	"Training"
"GSM1174025"	"LumP"	"Training"
"GSM1174026"	"Ba/Sq"	"Training"
"GSM1174027"	"Ba/Sq"	"Training"
"GSM1261392"	"Ba/Sq"	"Training"
"GSM1261393"	"Ba/Sq"	"Training"
"GSM1261394"	"Ba/Sq"	"Training"
"GSM1261395"	"LumNS"	"Training"
"GSM1261396"	"LumU"	"Training"
"GSM1261397"	"Ba/Sq"	"Training"
"GSM1261398"	"Ba/Sq"	"Training"
"GSM1261399"	"Ba/Sq"	"Training"
"GSM1261400"	"LumU"	"Training"
"GSM1261401"	"Ba/Sq"	"Training"
"GSM1261402"	"LumU"	"Training"
"GSM1261403"	"LumNS"	"Training"
"GSM1261404"	"Stroma_rich"	"Training"
"GSM1261405"	"Ba/Sq"	"Training"
"GSM1261406"	"LumU"	"Training"
"GSM1261407"	"Ba/Sq"	"Training"
"GSM1261408"	"Stroma_rich"	"Training"
"GSM1261409"	"Stroma_rich"	"Training"
"GSM1261410"	"LumU"	"Training"
"GSM1261411"	"LumU"	"Training"
"GSM1261412"	"Ba/Sq"	"Training"
"GSM1261413"	"Ba/Sq"	"Training"
"GSM1261414"	"LumNS"	"Training"
"GSM2212901"	"LumP"	"Training"
"GSM2212902"	"Ba/Sq"	"Training"
"GSM2212903"	"Ba/Sq"	"Training"
"GSM2212904"	"LumNS"	"Training"
"GSM2212905"	"Ba/Sq"	"Training"
"GSM2212906"	"LumU"	"Training"
"GSM2212907"	"LumP"	"Training"
"GSM2212909"	"Stroma_rich"	"Training"
"GSM2212910"	"LumP"	"Training"
"GSM2212911"	"Ba/Sq"	"Training"
"GSM2212912"	"Stroma_rich"	"Training"
"GSM2212915"	"LumP"	"Training"
"GSM2212917"	"Ba/Sq"	"Training"
"GSM2212918"	"Ba/Sq"	"Training"
"GSM2212919"	"Stroma_rich"	"Training"
"GSM2212920"	"LumU"	"Training"
"GSM2212921"	"LumP"	"Training"
"GSM2212922"	"LumNS"	"Training"
"GSM2212923"	"Ba/Sq"	"Training"
"GSM2212924"	"Ba/Sq"	"Training"
"GSM2212925"	"Ba/Sq"	"Training"
"GSM2212926"	"LumNS"	"Training"
"GSM2212927"	"Ba/Sq"	"Training"
"GSM2212929"	"Ba/Sq"	"Training"
"GSM2212931"	"Ba/Sq"	"Training"
"GSM2212932"	"LumP"	"Training"
"GSM2212933"	"Ba/Sq"	"Training"
"GSM2212934"	"Ba/Sq"	"Training"
"GSM2212935"	"NE_like"	"Training"
"GSM2212936"	"Ba/Sq"	"Training"
"GSM2212937"	"LumP"	"Training"
"GSM2212939"	"Ba/Sq"	"Training"
"GSM2212941"	"Ba/Sq"	"Training"
"GSM2212942"	"Ba/Sq"	"Training"
"GSM2212943"	"LumP"	"Training"
"GSM2212944"	"Ba/Sq"	"Training"
"GSM2212947"	"Ba/Sq"	"Training"
"GSM2212948"	"Stroma_rich"	"Training"
"GSM2212949"	"LumP"	"Training"
"GSM2212950"	"LumU"	"Training"
"GSM2212951"	"LumNS"	"Training"
"GSM2212952"	"LumNS"	"Training"
"GSM2212953"	"Ba/Sq"	"Training"
"GSM2212954"	"Ba/Sq"	"Training"
"GSM2212955"	"Stroma_rich"	"Training"
"GSM2212956"	"LumU"	"Training"
"GSM2212957"	"LumNS"	"Training"
"GSM2212959"	"LumNS"	"Training"
"GSM2212960"	"LumNS"	"Training"
"GSM2212961"	"Stroma_rich"	"Training"
"GSM2212962"	"Ba/Sq"	"Training"
"GSM2212963"	"LumU"	"Training"
"GSM2212964"	"LumNS"	"Training"
"GSM2212965"	"LumNS"	"Training"
"GSM2212966"	"Stroma_rich"	"Training"
"GSM2212967"	"LumP"	"Training"
"GSM2212972"	"LumNS"	"Training"
"GSM2212973"	"LumU"	"Training"
"GSM2212974"	"Stroma_rich"	"Training"
"GSM2212975"	"Ba/Sq"	"Training"
"GSM2212976"	"Ba/Sq"	"Training"
"GSM2212977"	"Ba/Sq"	"Training"
"GSM2212980"	"Ba/Sq"	"Training"
"GSM2212981"	"Ba/Sq"	"Training"
"GSM2212983"	"Stroma_rich"	"Training"
"GSM2212984"	"Stroma_rich"	"Training"
"GSM2212985"	"Ba/Sq"	"Training"
"GSM2212986"	"NE_like"	"Training"
"GSM2212988"	"Ba/Sq"	"Training"
"GSM2212990"	"LumU"	"Training"
"GSM2212991"	"Ba/Sq"	"Training"
"GSM2212992"	"LumU"	"Training"
"GSM2212993"	"LumU"	"Training"
"GSM2212994"	"Ba/Sq"	"Training"
"GSM2212996"	"LumU"	"Training"
"GSM2212997"	"LumU"	"Training"
"GSM2212999"	"LumU"	"Training"
"GSM2213000"	"Stroma_rich"	"Training"
"GSM2213001"	"LumP"	"Training"
"GSM2213003"	"Ba/Sq"	"Training"
"GSM2213004"	"LumP"	"Training"
"GSM2213005"	"Stroma_rich"	"Training"
"GSM2213006"	"LumP"	"Training"
"GSM2213008"	"Stroma_rich"	"Training"
"GSM2213009"	"Ba/Sq"	"Training"
"GSM2213010"	"LumU"	"Training"
"GSM2213011"	"LumP"	"Training"
"GSM2213012"	"Ba/Sq"	"Training"
"GSM2213013"	"Ba/Sq"	"Training"
"GSM2213014"	"Ba/Sq"	"Training"
"GSM2213015"	"Stroma_rich"	"Training"
"GSM2213016"	"LumNS"	"Training"
"GSM2213017"	"LumP"	"Training"
"GSM2213019"	"Stroma_rich"	"Training"
"GSM2213020"	"LumU"	"Training"
"GSM2213023"	"Ba/Sq"	"Training"
"GSM2213024"	"Stroma_rich"	"Training"
"GSM2213026"	"Ba/Sq"	"Training"
"GSM2213027"	"Ba/Sq"	"Training"
"GSM2213028"	"LumNS"	"Training"
"GSM2213029"	"LumU"	"Training"
"GSM2213030"	"LumNS"	"Training"
"GSM2213031"	"LumU"	"Training"
"GSM2213032"	"Stroma_rich"	"Training"
"GSM2213033"	"LumU"	"Training"
"GSM2213034"	"Stroma_rich"	"Training"
"GSM2213036"	"Stroma_rich"	"Training"
"GSM2213037"	"LumP"	"Training"
"GSM2213038"	"LumP"	"Training"
"GSM2213039"	"LumP"	"Training"
"GSM2213040"	"LumP"	"Training"
"GSM2213041"	"LumNS"	"Training"
"GSM2213042"	"Ba/Sq"	"Training"
"GSM2213043"	"Stroma_rich"	"Training"
"GSM2213045"	"Ba/Sq"	"Training"
"GSM2213047"	"LumP"	"Training"
"GSM2213048"	"Ba/Sq"	"Training"
"GSM2213049"	"Ba/Sq"	"Training"
"GSM2213051"	"Stroma_rich"	"Training"
"GSM2213052"	"Stroma_rich"	"Training"
"GSM2213053"	"Ba/Sq"	"Training"
"GSM2213054"	"LumU"	"Training"
"GSM2213055"	"NE_like"	"Training"
"GSM2213056"	"Ba/Sq"	"Training"
"GSM2213057"	"Ba/Sq"	"Training"
"GSM2213059"	"NE_like"	"Training"
"GSM2213060"	"LumP"	"Training"
"GSM2213061"	"LumU"	"Training"
"GSM2213062"	"LumU"	"Training"
"GSM2213063"	"Ba/Sq"	"Training"
"GSM2213065"	"Ba/Sq"	"Training"
"GSM2213068"	"Ba/Sq"	"Training"
"GSM2213070"	"LumNS"	"Training"
"GSM2213072"	"LumU"	"Training"
"GSM2213074"	"Ba/Sq"	"Training"
"GSM2213075"	"LumNS"	"Training"
"GSM2213076"	"LumNS"	"Training"
"GSM2213077"	"LumNS"	"Training"
"GSM2213078"	"LumP"	"Training"
"GSM2213080"	"LumNS"	"Training"
"GSM2213082"	"Ba/Sq"	"Training"
"GSM2213084"	"LumP"	"Training"
"GSM2213088"	"Ba/Sq"	"Training"
"GSM2213090"	"Ba/Sq"	"Training"
"GSM2213092"	"Stroma_rich"	"Training"
"GSM2213093"	"Stroma_rich"	"Training"
"GSM2213094"	"LumU"	"Training"
"GSM2213095"	"LumP"	"Training"
"GSM2213096"	"LumNS"	"Training"
"GSM2213097"	"Ba/Sq"	"Training"
"GSM2213098"	"LumP"	"Training"
"GSM2213099"	"Ba/Sq"	"Training"
"GSM2213100"	"Ba/Sq"	"Training"
"GSM2213101"	"LumNS"	"Training"
"GSM2213102"	"Stroma_rich"	"Training"
"GSM2213103"	"Ba/Sq"	"Training"
"GSM2213104"	"LumP"	"Training"
"GSM2213106"	"NE_like"	"Training"
"GSM2213107"	"LumU"	"Training"
"GSM2213109"	"Stroma_rich"	"Training"
"GSM2213110"	"Stroma_rich"	"Training"
"GSM2213114"	"Ba/Sq"	"Training"
"GSM2213115"	"LumNS"	"Training"
"GSM2213116"	"Ba/Sq"	"Training"
"GSM2213117"	"NE_like"	"Training"
"GSM2213118"	"Stroma_rich"	"Training"
"GSM2213119"	"NE_like"	"Training"
"GSM2213121"	"LumNS"	"Training"
"GSM2213122"	"Ba/Sq"	"Training"
"GSM2213123"	"LumP"	"Training"
"GSM2213124"	"Ba/Sq"	"Training"
"GSM2213125"	"Ba/Sq"	"Training"
"GSM2213127"	"LumU"	"Training"
"GSM2213128"	"Ba/Sq"	"Training"
"GSM2213129"	"Stroma_rich"	"Training"
"GSM2213130"	"Ba/Sq"	"Training"
"GSM2213131"	"Ba/Sq"	"Training"
"GSM2213132"	"Ba/Sq"	"Training"
"GSM2213134"	"Ba/Sq"	"Training"
"GSM2213135"	"Ba/Sq"	"Training"
"GSM2213136"	"Ba/Sq"	"Training"
"GSM2213139"	"Stroma_rich"	"Training"
"GSM2213140"	"Ba/Sq"	"Training"
"GSM2213141"	"Stroma_rich"	"Training"
"GSM2213142"	"Ba/Sq"	"Training"
"GSM2213144"	"Stroma_rich"	"Training"
"GSM2213145"	"LumNS"	"Training"
"GSM2213146"	"Stroma_rich"	"Training"
"GSM2213147"	"LumP"	"Training"
"GSM2213148"	"LumU"	"Training"
"GSM2213149"	"Ba/Sq"	"Training"
"GSM2213150"	"LumP"	"Training"
"GSM2213151"	"Ba/Sq"	"Training"
"GSM2213152"	"Stroma_rich"	"Training"
"GSM2213153"	"LumU"	"Training"
"GSM2213154"	"LumP"	"Training"
"GSM2213157"	"Stroma_rich"	"Training"
"GSM2213161"	"LumNS"	"Training"
"GSM2213162"	"LumNS"	"Training"
"GSM2213163"	"Ba/Sq"	"Training"
"GSM2213164"	"LumP"	"Training"
"GSM2213166"	"Stroma_rich"	"Training"
"GSM2213167"	"LumNS"	"Training"
"GSM2213168"	"Ba/Sq"	"Training"
"GSM2213170"	"Stroma_rich"	"Training"
"GSM2213172"	"Stroma_rich"	"Training"
"GSM2213174"	"Stroma_rich"	"Training"
"GSM2213175"	"LumU"	"Training"
"GSM2213176"	"Ba/Sq"	"Training"
"GSM2213177"	"LumNS"	"Training"
"GSM2213178"	"Stroma_rich"	"Training"
"GSM2213180"	"LumP"	"Training"
"GSM2213181"	"LumNS"	"Training"
"GSM2213182"	"LumNS"	"Training"
"GSM2213183"	"Ba/Sq"	"Training"
"GSM2213184"	"LumU"	"Training"
"GSM2213185"	"Stroma_rich"	"Training"
"GSM2213187"	"LumP"	"Training"
"GSM2213188"	"Stroma_rich"	"Training"
"GSM2213189"	"LumNS"	"Training"
"GSM2213190"	"Stroma_rich"	"Training"
"GSM2213191"	"Ba/Sq"	"Training"
"GSM2213192"	"LumU"	"Training"
"GSM2213193"	"Stroma_rich"	"Training"
"GSM2213195"	"Ba/Sq"	"Training"
"GSM2213196"	"LumU"	"Training"
"GSM2213197"	"LumP"	"Training"
"GSM2213198"	"LumP"	"Training"
"GSM2213199"	"Stroma_rich"	"Training"
"GSM2213200"	"Ba/Sq"	"Training"
"GSM2213201"	"NE_like"	"Training"
"GSM2213202"	"LumNS"	"Training"
"GSM2213203"	"Stroma_rich"	"Training"
"GSM2213204"	"NE_like"	"Training"
"GSM2213205"	"Ba/Sq"	"Training"
"GSM2213206"	"Ba/Sq"	"Training"
"GSM2213207"	"Stroma_rich"	"Training"
"GSM2213208"	"LumNS"	"Training"
"GSM2213209"	"LumU"	"Training"
"GSM2213210"	"LumU"	"Training"
"GSM2213211"	"LumP"	"Training"
"GSM2213212"	"LumP"	"Training"
"GSM2213213"	"LumP"	"Training"
"GSM340612"	"Stroma_rich"	"Training"
"GSM340613"	"LumP"	"Training"
"GSM340614"	"LumP"	"Training"
"GSM340618"	"LumP"	"Training"
"GSM340620"	"LumP"	"Training"
"GSM340623"	"LumP"	"Training"
"GSM340628"	"Ba/Sq"	"Training"
"GSM340630"	"LumP"	"Training"
"GSM340633"	"LumP"	"Training"
"GSM340634"	"LumP"	"Training"
"GSM340636"	"LumU"	"Training"
"GSM340648"	"LumP"	"Training"
"GSM340653"	"LumP"	"Training"
"GSM340654"	"LumU"	"Training"
"GSM340660"	"Stroma_rich"	"Training"
"GSM340665"	"LumP"	"Training"
"GSM340672"	"Ba/Sq"	"Training"
"GSM340673"	"LumU"	"Training"
"GSM340674"	"Stroma_rich"	"Training"
"GSM340677"	"LumU"	"Training"
"GSM340678"	"LumNS"	"Training"
"GSM340684"	"LumP"	"Training"
"GSM340693"	"LumP"	"Training"
"GSM340694"	"LumU"	"Training"
"GSM340696"	"Ba/Sq"	"Training"
"GSM340697"	"LumNS"	"Training"
"GSM340700"	"LumP"	"Training"
"GSM340701"	"NE_like"	"Training"
"GSM340702"	"LumP"	"Training"
"GSM340704"	"NE_like"	"Training"
"GSM340705"	"Stroma_rich"	"Training"
"GSM340706"	"LumP"	"Training"
"GSM340709"	"LumU"	"Training"
"GSM340712"	"LumP"	"Training"
"GSM340714"	"Stroma_rich"	"Training"
"GSM340715"	"LumP"	"Training"
"GSM340718"	"LumP"	"Training"
"GSM340720"	"Stroma_rich"	"Training"
"GSM340721"	"LumU"	"Training"
"GSM340723"	"LumP"	"Training"
"GSM340725"	"LumNS"	"Training"
"GSM340727"	"LumP"	"Training"
"GSM340728"	"Ba/Sq"	"Training"
"GSM340729"	"LumU"	"Training"
"GSM340731"	"Ba/Sq"	"Training"
"GSM340732"	"Ba/Sq"	"Training"
"GSM340733"	"LumP"	"Training"
"GSM340746"	"Stroma_rich"	"Training"
"GSM340747"	"LumP"	"Training"
"GSM340757"	"LumU"	"Training"
"GSM340758"	"LumNS"	"Training"
"GSM340759"	"Stroma_rich"	"Training"
"GSM340760"	"LumU"	"Training"
"GSM340761"	"Stroma_rich"	"Training"
"GSM340762"	"LumP"	"Training"
"GSM340763"	"LumP"	"Training"
"GSM340764"	"LumP"	"Training"
"GSM340765"	"LumP"	"Training"
"GSM340766"	"Ba/Sq"	"Training"
"GSM340767"	"LumP"	"Training"
"GSM340769"	"Stroma_rich"	"Training"
"GSM786491"	"Ba/Sq"	"Training"
"GSM786492"	"Stroma_rich"	"Training"
"GSM786493"	"LumP"	"Training"
"GSM786494"	"Ba/Sq"	"Training"
"GSM786495"	"LumP"	"Training"
"GSM786496"	"LumP"	"Training"
"GSM786498"	"LumU"	"Training"
"GSM786499"	"LumP"	"Training"
"GSM786500"	"Ba/Sq"	"Training"
"GSM786502"	"LumU"	"Training"
"GSM786503"	"Ba/Sq"	"Training"
"GSM786504"	"Ba/Sq"	"Training"
"GSM786505"	"Ba/Sq"	"Training"
"GSM786506"	"Ba/Sq"	"Training"
"GSM786507"	"LumP"	"Training"
"GSM786508"	"LumP"	"Training"
"GSM786509"	"Ba/Sq"	"Training"
"GSM786510"	"LumP"	"Training"
"GSM786511"	"Stroma_rich"	"Training"
"GSM786512"	"LumP"	"Training"
"GSM786513"	"Ba/Sq"	"Training"
"GSM786514"	"Ba/Sq"	"Training"
"GSM786515"	"LumP"	"Training"
"GSM786516"	"Ba/Sq"	"Training"
"GSM786518"	"Stroma_rich"	"Training"
"GSM786519"	"Stroma_rich"	"Training"
"GSM786520"	"Ba/Sq"	"Training"
"GSM786521"	"NE_like"	"Training"
"GSM786522"	"Ba/Sq"	"Training"
"GSM786524"	"Ba/Sq"	"Training"
"GSM786525"	"Ba/Sq"	"Training"
"GSM786526"	"Ba/Sq"	"Training"
"GSM786528"	"Ba/Sq"	"Training"
"GSM786529"	"LumU"	"Training"
"GSM786530"	"Stroma_rich"	"Training"
"GSM786531"	"Stroma_rich"	"Training"
"GSM786532"	"Ba/Sq"	"Training"
"GSM786533"	"LumNS"	"Training"
"GSM786535"	"LumU"	"Training"
"GSM786536"	"Ba/Sq"	"Training"
"GSM786537"	"NE_like"	"Training"
"GSM786538"	"Ba/Sq"	"Training"
"GSM786540"	"LumP"	"Training"
"GSM786542"	"LumU"	"Training"
"GSM786543"	"Ba/Sq"	"Training"
"GSM786544"	"Stroma_rich"	"Training"
"GSM786545"	"Stroma_rich"	"Training"
"GSM786546"	"Stroma_rich"	"Training"
"GSM786547"	"Stroma_rich"	"Training"
"GSM786548"	"LumU"	"Training"
"GSM786549"	"Stroma_rich"	"Training"
"GSM786550"	"NE_like"	"Training"
"GSM786551"	"Ba/Sq"	"Training"
"GSM786552"	"LumNS"	"Training"
"GSM786553"	"Ba/Sq"	"Training"
"GSM786554"	"LumP"	"Training"
"GSM786557"	"Ba/Sq"	"Training"
"GSM786560"	"Ba/Sq"	"Training"
"GSM786561"	"Ba/Sq"	"Training"
"GSM786562"	"Ba/Sq"	"Training"
"GSM786563"	"LumP"	"Training"
"GSM786564"	"LumU"	"Training"
"GSM786566"	"Ba/Sq"	"Training"
"GSM786567"	"LumP"	"Training"
"GSM786568"	"Stroma_rich"	"Training"
"GSM786569"	"Ba/Sq"	"Training"
"GSM786570"	"LumP"	"Training"
"GSM786571"	"Stroma_rich"	"Training"
"GSM786573"	"Ba/Sq"	"Training"
"GSM786574"	"LumP"	"Training"
"GSM786575"	"Ba/Sq"	"Training"
"GSM786576"	"LumP"	"Training"
"GSM786577"	"Ba/Sq"	"Training"
"GSM786578"	"LumU"	"Training"
"GSM786580"	"NE_like"	"Training"
"GSM786581"	"Ba/Sq"	"Training"
"GSM786582"	"Ba/Sq"	"Training"
"GSM786583"	"Stroma_rich"	"Training"
"GSM814052"	"LumP"	"Training"
"GSM814053"	"LumNS"	"Training"
"GSM814056"	"LumU"	"Training"
"GSM814060"	"Ba/Sq"	"Training"
"GSM814064"	"Ba/Sq"	"Training"
"GSM814067"	"LumP"	"Training"
"GSM814068"	"Stroma_rich"	"Training"
"GSM814070"	"LumP"	"Training"
"GSM814076"	"Stroma_rich"	"Training"
"GSM814080"	"Ba/Sq"	"Training"
"GSM814081"	"LumU"	"Training"
"GSM814085"	"LumU"	"Training"
"GSM814090"	"LumU"	"Training"
"GSM814092"	"LumU"	"Training"
"GSM814093"	"LumP"	"Training"
"GSM814094"	"LumU"	"Training"
"GSM814097"	"Ba/Sq"	"Training"
"GSM814099"	"LumP"	"Training"
"GSM814101"	"Ba/Sq"	"Training"
"GSM814104"	"LumP"	"Training"
"GSM814105"	"LumU"	"Training"
"GSM814109"	"Stroma_rich"	"Training"
"GSM814110"	"LumU"	"Training"
"GSM814111"	"Ba/Sq"	"Training"
"GSM814113"	"LumU"	"Training"
"GSM814115"	"Ba/Sq"	"Training"
"GSM814119"	"LumP"	"Training"
"GSM814125"	"Ba/Sq"	"Training"
"GSM814126"	"Ba/Sq"	"Training"
"GSM814127"	"Ba/Sq"	"Training"
"GSM814130"	"LumP"	"Training"
"GSM814132"	"LumU"	"Training"
"GSM814138"	"LumP"	"Training"
"GSM814142"	"LumU"	"Training"
"GSM814145"	"Ba/Sq"	"Training"
"GSM814146"	"Ba/Sq"	"Training"
"GSM814151"	"Ba/Sq"	"Training"
"GSM814152"	"Stroma_rich"	"Training"
"GSM814158"	"Ba/Sq"	"Training"
"GSM814161"	"NE_like"	"Training"
"GSM814172"	"LumP"	"Training"
"GSM814173"	"Ba/Sq"	"Training"
"GSM814176"	"LumP"	"Training"
"GSM814179"	"LumP"	"Training"
"GSM814182"	"LumP"	"Training"
"GSM814183"	"LumP"	"Training"
"GSM814187"	"Ba/Sq"	"Training"
"GSM814188"	"LumP"	"Training"
"GSM814189"	"LumNS"	"Training"
"GSM814195"	"LumU"	"Training"
"GSM814202"	"LumU"	"Training"
"GSM814204"	"Stroma_rich"	"Training"
"GSM814209"	"LumU"	"Training"
"GSM814214"	"Stroma_rich"	"Training"
"GSM814218"	"Ba/Sq"	"Training"
"GSM814219"	"LumP"	"Training"
"GSM814220"	"Ba/Sq"	"Training"
"GSM814225"	"Ba/Sq"	"Training"
"GSM814238"	"Ba/Sq"	"Training"
"GSM814240"	"LumP"	"Training"
"GSM814241"	"Stroma_rich"	"Training"
"GSM814244"	"LumP"	"Training"
"GSM814246"	"LumP"	"Training"
"GSM814248"	"LumU"	"Training"
"GSM814251"	"Ba/Sq"	"Training"
"GSM814254"	"LumP"	"Training"
"GSM814257"	"LumP"	"Training"
"GSM814262"	"LumU"	"Training"
"GSM814269"	"Ba/Sq"	"Training"
"GSM814270"	"Ba/Sq"	"Training"
